,ITEM_NM,RATE,CONTENT,TAG,WRITE_DT
0,선택: 기본(머리고기+내장+순대),5,재구매 의향있어요~~~~~~,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240917
1,선택: 기본(머리고기+내장+순대),5,감히말씀드리는데왠만한 순대국집보다 10배맛있습니다 드셔보세요 든든합니다,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240916
2,선택: 살코기+순대,5,맛있게 잘먹었습니다 ! 감사합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240915
3,선택: 기본(머리고기+내장+순대),5,배터져요 웬만한배달집보다는 훨씬 낫스빈다. 가격 할일할때 쟁여서 냉동실 넣어두고 그냥 주식으로 삼겠습니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240914
4,선택: 기본(머리고기+내장+순대),5,그럭저럭 맛있었어요~ 다대기가 조금 짠것 같기도 고기는 많아요,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240914
5,선택: 기본(머리고기+내장+순대),5,진짜 맛있어요!!!! 포장상태도 깔끔하고 좋고 또 구매해서 먹을생각 입니다.,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240914
6,선택: 기본(머리고기+내장+순대),5,고기넉넉하고 국물 맛나고 소주안주로 최고입니다.!!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240913
7,선택: 기본(머리고기+내장+순대),5,어지간한 국밥집에서 먹는것보다 맛있습니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240912
8,선택: 기본(머리고기+내장+순대),5,재구매입니다 배송 빠르고 맛있어요~^^,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240911
9,선택: 살코기+순대,5,재구매입니다 맛있어요~,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240911
10,선택: 기본(머리고기+내장+순대),5,고기도많고ㅡ양념도맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
11,선택: 기본(머리고기+내장+순대),5,조리간편하고 맛있습니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
12,선택: 살코기+순대,5,조리간편하고 맛있습니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
13,선택: 순대만,5,정말 맛있습니다 좋아요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
14,선택: 순대만,5,배송도 빠르고 맛있어요 ....,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
15,선택: 기본(머리고기+내장+순대),5,배송도 빠르고 칼칼하고 맛있어요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
16,선택: 기본(머리고기+내장+순대),3,맛있어요........,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240910
17,선택: 기본(머리고기+내장+순대),5,부모님이 좋아하셔서 재구매합니다,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240909
18,선택: 순대만,5,양념이 따로 있어 딸이랑먹기 부담 없네요,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240909
19,선택: 기본(머리고기+내장+순대),5,항상 주문하는 제품입니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240909
20,선택: 기본(머리고기+내장+순대),5,재구매 의향있어요~~~~~~,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240917
21,선택: 기본(머리고기+내장+순대),5,감히말씀드리는데왠만한 순대국집보다 10배맛있습니다 드셔보세요 든든합니다,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240916
22,선택: 살코기+순대,5,맛있게 잘먹었습니다 ! 감사합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240915
23,선택: 기본(머리고기+내장+순대),5,배터져요 웬만한배달집보다는 훨씬 낫스빈다. 가격 할일할때 쟁여서 냉동실 넣어두고 그냥 주식으로 삼겠습니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240914
24,선택: 기본(머리고기+내장+순대),5,그럭저럭 맛있었어요~ 다대기가 조금 짠것 같기도 고기는 많아요,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240914
25,선택: 기본(머리고기+내장+순대),5,진짜 맛있어요!!!! 포장상태도 깔끔하고 좋고 또 구매해서 먹을생각 입니다.,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240914
26,선택: 기본(머리고기+내장+순대),5,고기넉넉하고 국물 맛나고 소주안주로 최고입니다.!!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240913
27,선택: 기본(머리고기+내장+순대),5,어지간한 국밥집에서 먹는것보다 맛있습니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240912
28,선택: 기본(머리고기+내장+순대),5,재구매입니다 배송 빠르고 맛있어요~^^,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240911
29,선택: 살코기+순대,5,재구매입니다 맛있어요~,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240911
30,선택: 기본(머리고기+내장+순대),5,고기도많고ㅡ양념도맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
31,선택: 기본(머리고기+내장+순대),5,조리간편하고 맛있습니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
32,선택: 살코기+순대,5,조리간편하고 맛있습니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
33,선택: 순대만,5,정말 맛있습니다 좋아요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
34,선택: 순대만,5,배송도 빠르고 맛있어요 ....,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
35,선택: 기본(머리고기+내장+순대),5,배송도 빠르고 칼칼하고 맛있어요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240910
36,선택: 기본(머리고기+내장+순대),3,맛있어요........,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240910
37,선택: 기본(머리고기+내장+순대),5,부모님이 좋아하셔서 재구매합니다,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240909
38,선택: 순대만,5,양념이 따로 있어 딸이랑먹기 부담 없네요,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240909
39,선택: 기본(머리고기+내장+순대),5,항상 주문하는 제품입니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240909
40,선택: 살코기+순대,3,"맛은 나쁘지 않았는데...추가요금까지 내고 구입하였으니 업체측 실수인지,,,기본으로 와서 그게 좀 아쉬워요~~담에 주문하게 되면 이번에 추가빠진거 보내주시면 감사하겠습니다.","맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240909
41,선택: 살코기+순대,5,너무 맛있어요 ㅎㅎ 자주 시켜 먹을거같아요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240909
42,선택: 기본(머리고기+내장+순대),5,잘받았습니다 항상시켜먹어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240909
43,선택: 기본(머리고기+내장+순대),5,아주 훌륭한 제품입니다!!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240909
44,선택: 순대만,5,국물 깔끔하고 양념넣으니 왕매콤 순대도 참 맛나네요 맛난 한그릇. 강추합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240908
45,선택: 살코기+순대,5,처음 구매해보았는데 정말 깔끔한 국물이네요 순대랑 고기도 맛나고 양념 다넣으니 맛나지만 넘 맵네요;; 담엔 좀 조절할까봐요 들깨가루가 중화시켜주긴 하네요 넘 맛난 한끼를 먹었어요 강추합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240908
46,선택: 살코기+순대,5,잘 받았습니다 ~~~,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240908
47,선택: 살코기+순대,5,"순댜국 라이브 보다가 댓글들에 너무 맛난다는 극찬에 안살수가 없었어요 ㅠㅠ 아기 있는데 워낙 잘안먹는 아가라서 이아이가 여기 순대랑 고기는 과연 먹어줄지 ,,,, 아직 먹아보진 못했지만 박스 열었을때 신랑이 우~아 다르다고 맛나보인다고하네요. 저녁에 끓여먹던가 해야하는데 먹어본후 다시 수정댓글 남겨볼께요~ 어쨋든 포장은 역시 저렴이들과는 달라보야요 물롬 순대국은 차음","유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240908
48,선택: 기본(머리고기+내장+순대),5,지금까지 먹어본 냉동 순대국 중에서 가장 맛있네요. 고기도 많고 상태도 좋은데다가 양념장이 칼칼하고 아주 맛납니다. 재구매의사 아주 많아요:),"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240907
49,선택: 기본(머리고기+내장+순대),5,오 맛있네요 새우젓도 실하고 맛도 좋고 만족합니다,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240907
50,선택: 기본(머리고기+내장+순대),5,재구매 입니다 내꺼~ 신랑은 살코기만 역쉬 맛나요!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240907
51,선택: 살코기+순대,5,역시 기대를..맛나요!! 재구매3번째 입니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240907
52,선택: 기본(머리고기+내장+순대),5,엄마집에도 배송 완료~ 엄마가 한번 먹어보더니 잡내 없고 깰끔하다고 주문 요청 하셔서 후다닥 세일할때 10봉 구매 완료~>^!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240907
53,선택: 기본(머리고기+내장+순대),5,벌써 세번째구매에요 맛있어요!!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240907
54,선택: 순대만,5,순대국 중 제일 입에 맞아요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240907
55,선택: 살코기+순대,5,밋 있어요. 냄세도 안나고..,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240907
56,선택: 기본(머리고기+내장+순대),5,집에서 끓여서 먹었는데 냄새도 안나고 맛있습니다~~,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240907
57,선택: 살코기+순대,5,양도 넉넉하고 신선하게 먹을 수 있어요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240906
58,선택: 기본(머리고기+내장+순대),5,맛있어요. 다먹고 또시켜먹어요.,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240906
59,선택: 살코기+순대,3,일단 맛은 있습니다 하지만 너무비싸다 재구매의사 없음!! (식당 자리비도 없는데 이가격?),"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240906
60,선택: 기본(머리고기+내장+순대),5,"옛날에 할머니 손잡고 시장가서 먹었던 그 맛이예요,,,,다데기가 일품입니다","유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240905
61,선택: 기본(머리고기+내장+순대),5,벌써 몇번째 재구매인지 몰라요 ㅎㅎ 얼큰순대국 기본 그대로 먹는게 젤 맛나요! 다대기 빼고 먹어봣는데 . 아이들이 먹기는 좋지만 어른입맛에는 슴슴하더라구요 토종순대 씹는 식감도 넘 맛잇음+_+,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240905
62,선택: 기본(머리고기+내장+순대),5,여기는 맛이 좋아요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240905
63,선택: 기본(머리고기+내장+순대),5,맛있어요 멋있어요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240905
64,선택: 살코기+순대,5,맛있어요 멋있어요 .,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240905
65,선택: 기본(머리고기+내장+순대),5,우리 애가 이제까지 먹었던 순대국 중에 최고라고 엄지 척이랍니다 연일 달아서 먹고 있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240905
66,선택: 순대만,5,순대국맛나요 ㅎㅎㅎ,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240905
67,선택: 살코기+순대,5,얼큰하니 맛있어요! 배송이 오래 걸렸지만 미리 말씀주셔서 괜찮았지만.... 순대국 하나에 순대없이 고기만 있는게 있었더라구요^^;;마침 남편이 먹어서 원래 그런줄 알았다고..ㅋㅋ 그래도 고기가 남편이 좋아하는 살코기로 있어서 좋았다고 합니다^^;; 전 최근 집밥 먹을 일이 없다 오늘 먹으며 이야길 들어서..ㅎㅎㅎ 사진은 제가 먹은 순대만 있는 걸로 찍었는데 맛나요 ㅎㅎㅎ,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240905
68,선택: 기본(머리고기+내장+순대),5,만족 합니다 다음에도 재구매 의사 있습니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240904
69,선택: 살코기+순대,5,고기도 듬뿍들었고 맛있습니다 특히 뽀얀 국물과 소스가 예술인데 맵찔이들은 반만넣어드세요 같이 온 새우젓도 맜있어요 간이 어느정도 되있으니 국물을 마셔보고 맞추시면 정말 맛있게 먹을수있답니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240904
70,선택: 순대만,5,국밥중에 제일 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
71,선택: 기본(머리고기+내장+순대),5,국밥중에 제일 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
72,선택: 기본(머리고기+내장+순대),5,칼칼한 맛이 일품입니다. 냉동실에 넣어놨다가 비상식량으로 먹기 좋아요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
73,선택: 순대만,5,아이들도 잘 먹어요 양념장은 조절해야 합니다.,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
74,선택: 기본(머리고기+내장+순대),5,매콤하니양이많아요 최고,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
75,선택: 살코기+순대,5,역시기대저버리지않네요 또구매합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
76,선택: 기본(머리고기+내장+순대),5,너무 맛있게 잘 먹었습니다! 조리방법도 그냥 끓이기만 해서 간편하고 너무 맛있어요! 다음에 또 주문하겠습니다!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
77,선택: 기본(머리고기+내장+순대),5,빠른배송 꼼꼼한 포장 좋아용,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
78,선택: 기본(머리고기+내장+순대),5,순대국 주문한거중에서는 최고,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
79,선택: 기본(머리고기+내장+순대),5,육수 양이 조금 아쉽지만 맛이 좋아요. 내장보단 고기 비율이 높은 순대국을 좋아하는데 개인적으론 약간 아쉽습니다. 국물은 아주 훌륭해요. 많이 파세요.,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240903
80,선택: 기본(머리고기+내장+순대),5,양도 푸짐 ! 얼큰해서 맛나용 ㅎㅎ,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
81,선택: 기본(머리고기+내장+순대),5,리뷰보고 구매했어요 역시나 진하고 양이 풍부햅니다 맛있어요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240902
82,선택: 기본(머리고기+내장+순대),5,또 구매해요 ㅋㅋ잴루 맛나요!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240902
83,선택: 기본(머리고기+내장+순대),5,너무 맛있게 먹어서 재주문 입니다 순대가 정말 맛있어요 다 먹으면 또 주문할께요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240902
84,선택: 살코기+순대,5,포장깔끔하고 재료 풍성하고 맛도 좋아요!,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
85,선택: 기본(머리고기+내장+순대),5,칼칼하고 맛있어서 대만족합니다.,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
86,선택: 기본(머리고기+내장+순대),5,아주 맛있게 4인가족이서 잘먹고있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
87,선택: 살코기+순대,5,아주맛있케 칼칼하게 잘먹고있습니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
88,선택: 순대만,5,아주 칼칼하게 맛있게 먹고있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
89,선택: 기본(머리고기+내장+순대),5,그냥 맛있음 계속 구매할듯,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
90,선택: 기본(머리고기+내장+순대),5,맛있어서 재구매했어요 한그릇하면 든든합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
91,선택: 기본(머리고기+내장+순대),5,항상 잘 먹고 있습니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
92,선택: 기본(머리고기+내장+순대),5,배송 좀 걸려었어 그래도 갠찬아요 진짜 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
93,선택: 기본(머리고기+내장+순대),5,맛있게 잘 먹었습니다~^^,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
94,선택: 기본(머리고기+내장+순대),5,잘 먹었습니다..#,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
95,선택: 기본(머리고기+내장+순대),5,좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240831
96,선택: 기본(머리고기+내장+순대),5,아들이 순대국 좋아해서 시켰는데 맛있다네요. 끓인 사진은 먹기 바빠서 못찍었어요ㅎㅎ,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240831
97,선택: 기본(머리고기+내장+순대),4,간편하게 먹기 좋아요,"맛 만족도평범해요,유통기한아주 넉넉해요,포장적당해요,",20240831
98,선택: 기본(머리고기+내장+순대),5,매콤하고 양도푸짐하고 맛있어요~^^,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240831
99,선택: 기본(머리고기+내장+순대),5,4번째 재주문!!!!!!!!!!!!,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240831
100,선택: 기본(머리고기+내장+순대),5,순대국 이거 넘 맛있어요 부추만 추가해서 먹으면 개꿀맛 소주3병이 줄줄,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
101,선택: 기본(머리고기+내장+순대),5,크~ 술이 없지어지네요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
102,선택: 기본(머리고기+내장+순대),5,"진짜 맛있네요 새우젓,들깨가루도 주고","유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
103,선택: 살코기+순대,5,집근처 맛집 국밥은 많은데 순대국밥은 여기못따라갑니다 !!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
104,선택: 기본(머리고기+내장+순대),5,저번에 맛있게 먹고 잊고있다가 재주문했어요! 요거하나면 저녁메뉴 걱정끝!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
105,선택: 기본(머리고기+내장+순대),5,잘받았습니다 빠른배송감사합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
106,선택: 살코기+순대,5,너무맛있게먹었어요 또주문할께요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
107,선택: 살코기+순대,5,저희집 최애순대국입니다 남편이 엄청엄청 좋아해요 양념에서 고추 다빼고 맵기 조절하면 아이들도 한그릇 뚝딱해요 살고기도 부드럽고 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
108,선택: 살코기+순대,5,맛있습니다 계속 시켜먹는 중,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
109,선택: 기본(머리고기+내장+순대),4,음식점에서 먹는것보다 훨씬 맛나고 양도 많은 것 같아요. 새우젓으로 간을 하면 좀 짤듯하네요 .,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
110,선택: 기본(머리고기+내장+순대),5,"재구매입니다. 배송시켜 먹어본 순대국 중에는 분명 가장 맛있지만. 11000원이라는 가격에 고개가 갸웃 했습니다. 식당에서 먹으면 밥에 반찬까지 포함되어 있는데, 그것도 빠지고, 배송비까지 생각하면 실제론 더 비싸다는 생각에, 추가 주문은 고민했었습니다. 맛은 어차피 고민거리가 아니고, 할인 가격이라고 하면 가성비도 최고라고 생각합니다.","유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
111,선택: 기본(머리고기+내장+순대),5,이제 국밥집 안가도 될정도에요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
112,선택: 기본(머리고기+내장+순대),5,얼큰하고 깔끔핫 국물 너무 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240829
113,선택: 기본(머리고기+내장+순대),5,두번째 주문입니다. 맛있게 잘 먹었습니다 ^^,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240829
114,선택: 살코기+순대,5,고기양도 많이 들어있고 국물이 얼큰해서 땀뻘뻘 흘리면서 맛있게 먹었어요. 한번씩 생각날것같아요. 담에 또 주문할께요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240829
115,선택: 순대만,5,잘받았어요 잘 먹을게요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240829
116,선택: 살코기+순대,5,잘받았어요 잘 먹을게요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240829
117,선택: 기본(머리고기+내장+순대),5,냄새안나고 맛있네요 잘 먹을게요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240829
118,선택: 기본(머리고기+내장+순대),5,가족들이 넘 잘 먹어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240828
119,선택: 살코기+순대,5,처음이라 딸아이한테 하나 보내줬는데 너무 맛있다거해요 이제 많이 시켜야겠어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240828
120,선택: 순대만,5,좋네요 ~~~~~!,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240827
121,선택: 기본(머리고기+내장+순대),5,너무 맛있어서 재구매 했어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240827
122,선택: 기본(머리고기+내장+순대),5,이제까지 맛본 순대국밥중 최고입니다 딸도 저도 완전 만족입니다 육수도 고기도 냄새없이 부드럽고 맛있어요 감사히 잘먹을게요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240826
123,선택: 순대만,5,맛있어서담에또시켜먹어야죠,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240826
124,선택: 기본(머리고기+내장+순대),5,양도 많고 맛도 좋습니다 1팩으로 2인도 먹을수있을꺼 같습니다. 밥과 함께요. 밥말아서 술국으로 먹기도 좋고. 간이 싱거우면 새우젖으로 간조절도 가능합니다. 고기에 냄새도 안나고 좋습니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240825
125,선택: 순대만,4,잡내없이 깔끔하니 국물 한방울도 안남기고 다들 잘먹었어요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240825
126,선택: 기본(머리고기+내장+순대),5,너무맛잇어요 홓ㅎ호허호,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240825
127,선택: 살코기+순대,5,양이 넉넉하고 맛있어요 건더기먹고 볶음밥도 만들어봤어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240825
128,선택: 기본(머리고기+내장+순대),5,얼큰하고 맛있어요 남은 국물에 볶음밥도 도전해봤어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240825
129,선택: 기본(머리고기+내장+순대),3,맛있어서 다시 주문했는데 날씨가 더워서그런지 아이스팩이 다 녹고 육수도 다 녹았네요.. 이런 무더위에는 포장하실때 아이스팩을 넉넉하게 넣어주시면 좋을거같아요.,"유통기한꽤 남았어요,포장별로예요,맛 만족도맛있어요,",20240825
130,선택: 살코기+순대,5,얼큰하고 맛있어요. 떨어지면 또 시킬께요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240825
131,선택: 기본(머리고기+내장+순대),5,한번주문하고 맛있어서 세번째 주문한겁니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240824
132,선택: 기본(머리고기+내장+순대),5,먹어보고 너무 맛있어서 재구매 했습니다. 진짜 맛있어요!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240824
133,선택: 살코기+순대,5,늘 맛있게 먹고 있습니다 ㅎㅎ,"유통기한아주 넉넉해요,포장적당해요,맛 만족도맛있어요,",20240824
